,score,hit,homerun,fourball,strikeout,OPS
0,644.,1155.,136.,485.,704.,787.
1,618.,1069.,144.,516.,588.,768.
2,639.,1138.,108.,510.,546.,761.
3,554.,1041.,87.,475.,726.,717.
4,583.,1072.,73.,457.,515.,717.
5,501.,1054.,59.,418.,648.,672.
6,426.,976.,51.,423.,598.,652.
7,472.,1009.,53.,400.,475.,658.
8,701.,1139.,138.,559.,656.,789.
9,663.,1213.,68.,483.,542.,782.
10,658.,1120.,146.,511.,660.,782.
11,633.,1128.,124.,494.,620.,752.
12,547.,1096.,110.,439.,645.,725.
13,508.,1015.,90.,528.,748.,711.
14,572.,1094.,108.,439.,570.,715.
15,518.,1061.,87.,406.,620.,709.
16,613.,1169.,133.,465.,662.,752.
17,513.,1030.,95.,452.,606.,698.
18,496.,1069.,74.,376.,594.,689.
19,473.,1066.,59.,403.,611.,688.
20,454.,982.,81.,433.,743.,664.
21,452.,1013.,29.,389.,563.,647.
22,342.,913.,35.,343.,776.,595.
23,366.,903.,46.,392.,733.,603.
24,655.,1204.,88.,455.,573.,767.
25,541.,1081.,106.,458.,650.,726.
26,563.,1153.,93.,332.,583.,715.
27,489.,1072.,58.,378.,672.,680.
28,485.,988.,91.,385.,750.,681.
29,494.,1027.,87.,378.,622.,675.
30,482.,1002.,68.,416.,696.,669.
31,477.,1013.,75.,364.,712.,662.
32,629.,1154.,106.,357.,741.,725.
33,590.,1071.,65.,447.,726.,696.
34,527.,1064.,79.,421.,621.,706.
35,558.,1047.,94.,384.,723.,699.
36,510.,1037.,96.,403.,747.,703.
37,476.,1054.,83.,381.,600.,683.
38,431.,989.,75.,341.,675.,654.
39,467.,965.,82.,389.,754.,650.
40,566.,1161.,72.,398.,692.,733.
41,515.,1022.,92.,463.,701.,695.
42,545.,1085.,58.,427.,690.,709.
43,510.,1029.,88.,423.,807.,697.
44,506.,1036.,98.,441.,612.,694.
45,522.,1000.,90.,432.,836.,699.
46,493.,1001.,106.,396.,747.,689.
47,446.,1008.,82.,327.,721.,660.
48,722.,1194.,165.,456.,804.,819.
49,616.,1081.,133.,466.,722.,748.
50,602.,1090.,110.,490.,693.,766.
51,590.,1109.,83.,422.,601.,737.
52,511.,1070.,84.,382.,717.,685.
53,481.,1032.,102.,381.,779.,707.
54,497.,994.,82.,424.,720.,688.
55,434.,962.,75.,359.,801.,650.
56,633.,1123.,142.,413.,820.,778.
57,620.,1143.,143.,446.,822.,773.
58,609.,1131.,100.,417.,699.,740.
59,536.,1089.,101.,440.,758.,725.
60,536.,1070.,86.,403.,829.,709.
61,520.,1080.,102.,338.,713.,700.
62,503.,1042.,123.,339.,784.,708.
63,489.,1067.,94.,367.,669.,701.
64,731.,1268.,197.,432.,847.,838.
65,765.,1264.,210.,555.,871.,829.
66,753.,1309.,145.,465.,815.,824.
67,748.,1244.,207.,483.,964.,812.
68,721.,1305.,141.,478.,693.,793.
