## 승률은 특징변수들과 정렬순서가 달라 직접 입력하였습니다.,,,,,,,,,,,,,,,,,,
,score,hit,homerun,fourball,strikeout,OPS,winrate,,136,485,704,787,,644,1155,,787,0.591
0,644,1155,136,485,704,787,591,0.591,144,516,588,768,,618,1069,,768,0.647
1,618,1069,144,516,588,768,647,0.647,108,510,546,761,,639,1138,,761,0.56
2,639,1138,108,510,546,761,560,0.56,87,475,726,717,,554,1041,,717,0.425
3,554,1041,87,475,726,717,425,0.425,73,457,515,717,,583,1072,,717,0.496
4,583,1072,73,457,515,717,496,0.496,59,418,648,672,,501,1054,,672,0.413
5,501,1054,59,418,648,672,413,0.413,51,423,598,652,,426,976,,652,0.444
6,426,976,51,423,598,652,444,0.444,53,400,475,658,,472,1009,,658,0.425
7,472,1009,53,400,475,658,425,0.425,138,559,656,789,,701,1139,,789,0.567
8,701,1139,138,559,656,789,567,0.567,68,483,542,782,,663,1213,,782,0.563
9,663,1213,68,483,542,782,563,0.563,146,511,660,782,,658,1120,,782,0.651
10,658,1120,146,511,660,782,651,0.651,124,494,620,752,,633,1128,,752,0.54
11,633,1128,124,494,620,752,540,0.54,110,439,645,725,,547,1096,,725,0.46
12,547,1096,110,439,645,725,460,0.46,90,528,748,711,,508,1015,,711,0.329
13,508,1015,90,528,748,711,329,0.329,108,439,570,715,,572,1094,,715,0.433
14,572,1094,108,439,570,715,433,0.433,87,406,620,709,,518,1061,,709,0.456
15,518,1061,87,406,620,709,456,0.456,133,465,662,752,,613,1169,,752,0.599
16,613,1169,133,465,662,752,599,0.599,95,452,606,698,,513,1030,,698,0.655
17,513,1030,95,452,606,698,655,0.655,74,376,594,689,,496,1069,,689,0.536
18,496,1069,74,376,594,689,536,0.536,59,403,611,688,,473,1066,,688,0.544
19,473,1066,59,403,611,688,544,0.544,81,433,743,664,,454,982,,664,0.5
20,454,982,81,433,743,664,500,0.5,29,389,563,647,,452,1013,,647,0.496
21,452,1013,29,389,563,647,496,0.496,35,343,776,595,,342,913,,595,0.31
22,342,913,35,343,776,595,310,0.31,46,392,733,603,,366,903,,603,0.361
23,366,903,46,392,733,603,361,0.361,88,455,573,767,,655,1204,,767,0.643
24,655,1204,88,455,573,767,643,0.643,106,458,650,726,,,,,,
25,541,1081,106,458,650,726,484,0.484,93,332,583,715,,,,,,
26,563,1153,93,332,583,715,524,0.524,58,378,672,680,,,,,,
27,489,1072,58,378,672,680,456,0.456,91,385,750,681,,,,,,
28,485,988,91,385,750,681,552,0.552,87,378,622,675,,,,,,
29,494,1027,87,378,622,675,393,0.393,68,416,696,669,,,,,,
30,482,1002,68,416,696,669,524,0.524,75,364,712,662,,,,,,
31,477,1013,75,364,712,662,425,0.425,106,357,741,725,,,,,,
32,629,1154,106,357,741,725,607,0.607,65,447,726,696,,,,,,
33,590,1071,65,447,726,696,560,0.56,79,421,621,706,,,,,,
34,527,1064,79,421,621,706,603,0.603,94,384,723,699,,,,,,
35,558,1047,94,384,723,699,500,0.5,96,403,747,703,,,,,,
36,510,1037,96,403,747,703,437,0.437,83,381,600,683,,,,,,
37,476,1054,83,381,600,683,369,0.369,75,341,675,654,,,,,,
38,431,989,75,341,675,654,524,0.524,82,389,754,650,,,,,,
39,467,965,82,389,754,650,401,0.401,72,398,692,733,,,,,,
40,566,1161,72,398,692,733,476,0.476,92,463,701,695,,,,,,
41,515,1022,92,463,701,695,587,0.587,58,427,690,709,,,,,,
42,545,1085,58,427,690,709,563,0.563,88,423,807,697,,,,,,
43,510,1029,88,423,807,697,448,0.448,98,441,612,694,,,,,,
44,506,1036,98,441,612,694,417,0.417,90,432,836,699,,,,,,
45,522,1000,90,432,836,699,560,0.56,106,396,747,689,,,,,,
46,493,1001,106,396,747,689,552,0.552,82,327,721,660,,,,,,
47,446,1008,82,327,721,660,397,0.397,165,456,804,819,,,,,,
48,722,1194,165,456,804,819,552,0.552,133,466,722,748,,,,,,
49,616,1081,133,466,722,748,599,0.599,110,490,693,766,,,,,,
50,602,1090,110,490,693,766,571,0.571,83,422,601,737,,,,,,
51,590,1109,83,422,601,737,587,0.587,84,382,717,685,,,,,,
52,511,1070,84,382,717,685,472,0.472,102,381,779,707,,,,,,
53,481,1032,102,381,779,707,413,0.413,82,424,720,688,,,,,,
54,497,994,82,424,720,688,421,0.421,75,359,801,650,,,,,,
55,434,962,75,359,801,650,385,0.385,142,413,820,778,,,,,,
56,633,1123,142,413,820,778,643,0.643,143,446,822,773,,,,,,
57,620,1143,143,446,822,773,532,0.532,100,417,699,740,,,,,,
58,609,1131,100,417,699,740,504,0.504,101,440,758,725,,,,,,
59,536,1089,101,440,758,725,468,0.468,86,403,829,709,,,,,,
60,536,1070,86,403,829,709,410,0.41,102,338,713,700,,,,,,
61,520,1080,102,338,713,700,496,0.496,123,339,784,708,,,,,,
62,503,1042,123,339,784,708,455,0.455,94,367,669,701,,,,,,
63,489,1067,94,367,669,701,488,0.488,197,432,847,838,,,,,,
64,731,1268,197,432,847,838,554,0.554,210,555,871,829,,,,,,
65,765,1264,210,555,871,829,465,0.465,145,465,815,824,,,,,,
66,753,1309,145,465,815,824,591,0.591,207,483,964,812,,,,,,
67,748,1244,207,483,964,812,562,0.562,141,478,693,793,,,,,,
68,721,1305,141,478,693,793,598,0.598,145,428,772,792,,,,,,
69,744,1287,145,428,772,792,466,0.466,143,537,780,777,,,,,,
70,699,1210,143,537,780,777,535,0.535,86,418,908,678,,,,,,
71,523,1108,86,418,908,678,224,0.224,208,548,905,849,,,,,,
72,777,1245,208,548,905,849,695,0.695,150,475,684,800,,,,,,
73,694,1325,150,475,684,800,571,0.571,177,496,967,795,,,,,,
74,744,1223,177,496,967,795,539,0.539,180,449,997,803,,,,,,
75,680,1270,180,449,997,803,391,0.391,122,553,805,770,,,,,,
76,687,1239,122,553,805,770,515,0.515,104,449,831,719,,,,,,
