¿¹Ãø ½Â·ü,½ÇÁ¦ ½Â·ü,¿ÀÂ÷,,,
56.1%,59.1%,3.0%,,Æò±Õ ¿ÀÂ÷,4.9%
59.8%,64.7%,4.9%,,,
60.2%,56.0%,4.2%,,,
52.5%,42.5%,10.0%,,,
59.3%,49.6%,9.7%,,,
48.6%,41.3%,7.3%,,,
45.6%,44.4%,1.2%,,,
51.9%,42.5%,9.4%,,,
63.6%,56.7%,6.9%,,,
60.3%,56.3%,4.0%,,,
60.0%,65.1%,5.1%,,,
58.2%,54.0%,4.2%,,,
50.5%,46.0%,4.5%,,,
47.7%,32.9%,14.8%,,,
55.0%,43.3%,11.7%,,,
50.4%,45.6%,4.8%,,,
52.9%,59.9%,7.0%,,,
51.1%,65.5%,14.4%,,,
48.6%,53.6%,5.0%,,,
45.9%,54.4%,8.5%,,,
44.4%,50.0%,5.6%,,,
48.1%,49.6%,1.5%,,,
36.4%,31.0%,5.4%,,,
39.9%,36.1%,3.8%,,,
58.9%,64.3%,5.4%,,,
50.4%,48.4%,2.0%,,,
52.0%,52.4%,0.4%,,,
46.2%,45.6%,0.6%,,,
47.6%,55.2%,7.6%,,,
49.6%,39.3%,10.3%,,,
48.0%,52.4%,4.4%,,,
46.8%,42.5%,4.3%,,,
55.2%,60.7%,5.5%,,,
55.6%,56.0%,0.4%,,,
51.2%,60.3%,9.1%,,,
53.3%,50.0%,3.3%,,,
47.7%,43.7%,4.0%,,,
46.8%,36.9%,9.9%,,,
43.9%,52.4%,8.5%,,,
46.8%,40.1%,6.7%,,,
49.4%,47.6%,1.8%,,,
49.6%,58.7%,9.1%,,,
51.0%,56.3%,5.3%,,,
46.8%,44.8%,2.0%,,,
49.9%,41.7%,8.2%,,,
48.9%,56.0%,7.1%,,,
47.5%,55.2%,7.7%,,,
43.6%,39.7%,3.9%,,,
60.2%,55.2%,5.0%,,,
56.5%,59.9%,3.4%,,,
55.5%,57.1%,1.6%,,,
56.4%,58.7%,2.3%,,,
47.2%,47.2%,0.0%,,,
44.1%,41.3%,2.8%,,,
49.2%,42.1%,7.1%,,,
42.7%,38.5%,4.2%,,,
54.4%,64.3%,9.9%,,,
51.5%,53.2%,1.7%,,,
54.8%,50.4%,4.4%,,,
47.3%,46.8%,0.5%,,,
47.3%,41.0%,6.3%,,,
47.8%,49.6%,1.8%,,,
