¿¹Ãø ½Â·ü,½ÇÁ¦ ½Â·ü,¿ÀÂ÷,,,
62.2%,59.10%,3.1%,,¿ÀÂ÷ Æò±Õ,4.3%
59.9%,64.70%,4.8%,,,
59.2%,56.00%,3.2%,,,
55.3%,42.50%,12.8%,,,
53.1%,49.60%,3.5%,,,
43.8%,41.30%,2.5%,,,
40.6%,44.40%,3.8%,,,
41.1%,42.50%,1.4%,,,
63.1%,56.70%,6.4%,,,
59.9%,56.30%,3.6%,,,
58.1%,65.10%,7.0%,,,
55.5%,54.00%,1.5%,,,
44.4%,46.00%,1.6%,,,
47.2%,32.90%,14.3%,,,
44.8%,43.30%,1.5%,,,
45.1%,45.60%,0.5%,,,
63.0%,59.90%,3.1%,,,
58.6%,65.50%,6.9%,,,
52.0%,53.60%,1.6%,,,
50.0%,54.40%,4.4%,,,
48.6%,50.00%,1.4%,,,
47.8%,49.60%,1.8%,,,
37.8%,31.00%,6.8%,,,
38.1%,36.10%,2.0%,,,
66.8%,64.30%,2.5%,,,
53.6%,48.40%,5.2%,,,
51.6%,52.40%,0.8%,,,
47.3%,45.60%,1.7%,,,
46.8%,55.20%,8.4%,,,
45.7%,39.30%,6.4%,,,
45.6%,52.40%,6.8%,,,
42.9%,42.50%,0.4%,,,
58.0%,60.70%,2.7%,,,
58.7%,56.00%,2.7%,,,
55.2%,60.30%,5.1%,,,
52.9%,50.00%,2.9%,,,
50.3%,43.70%,6.6%,,,
46.6%,36.90%,9.7%,,,
43.1%,52.40%,9.3%,,,
44.8%,40.10%,4.7%,,,
55.5%,47.60%,7.9%,,,
52.7%,58.70%,6.0%,,,
54.3%,56.30%,2.0%,,,
51.5%,44.80%,6.7%,,,
47.8%,41.70%,6.1%,,,
51.0%,56.00%,5.0%,,,
47.5%,55.20%,7.7%,,,
40.7%,39.70%,1.0%,,,
67.6%,55.20%,12.4%,,,
56.6%,59.90%,3.3%,,,
56.7%,57.10%,0.4%,,,
56.6%,58.70%,2.1%,,,
46.3%,47.20%,0.9%,,,
44.4%,41.30%,3.1%,,,
45.1%,42.10%,3.0%,,,
36.7%,38.50%,1.8%,,,
59.0%,64.30%,5.3%,,,
54.8%,53.20%,1.6%,,,
55.7%,50.40%,5.3%,,,
49.3%,46.80%,2.5%,,,
47.4%,41.00%,6.4%,,,
45.7%,49.60%,3.9%,,,
43.4%,45.50%,2.1%,,,
41.5%,48.80%,7.3%,,,
53.3%,55.40%,2.1%,,,
54.2%,46.50%,7.7%,,,
54.2%,59.10%,4.9%,,,
51.9%,56.20%,4.3%,,,
50.6%,59.80%,9.2%,,,
52.8%,46.60%,6.2%,,,
48.4%,53.50%,5.1%,,,
32.9%,22.40%,10.5%,,,
64.9%,69.50%,4.6%,,,
53.9%,57.10%,3.2%,,,
54.1%,53.90%,0.2%,,,
48.5%,39.10%,9.4%,,,
51.6%,51.50%,0.1%,,,
43.4%,50.40%,7.0%,,,
41.4%,33.80%,7.6%,,,
41.4%,44.20%,2.8%,,,
54.4%,60.90%,6.5%,,,
55.2%,45.70%,9.5%,,,
54.9%,50.80%,4.1%,,,
48.5%,47.30%,1.2%,,,
53.1%,55.80%,2.7%,,,
49.4%,46.90%,2.5%,,,
49.1%,46.40%,2.7%,,,
40.9%,45.80%,4.9%,,,
62.7%,63.60%,0.9%,,,
52.7%,60.50%,7.8%,,,
49.4%,46.90%,2.5%,,,
51.0%,54.70%,3.7%,,,
46.1%,46.10%,0.0%,,,
44.8%,50.40%,5.6%,,,
46.0%,52.00%,6.0%,,,
30.6%,26.50%,4.1%,,,
